Server ID,Operating System,OS Version,Decommission Deadline,Decommission Status,Location,Server Age,Usage,Criticality,Replacement Plan,Data Migration Status,Responsible Team,Maintenance History,Performance Metrics,Hardware Specs,Software Dependencies,Compliance Requirements,Security Risks,Maintenance Cost,Energy Consumption,Virtualization Suitability,Backup Status,Disaster Recovery Plan,Stakeholder Feedback,Project Milestones,Vendor Support,Environmental Impact,End-of-Life Date,Notes,Last Updated
Srv141,Windows Server,2019,15/05/2023 0:00,Completed,On-Premise,8 years,Database Server,Medium,Yes,Completed,DevOps Team,Monthly updates,99.9% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",None,High,$2355 per year,426W,No,Up-to-date,Not applicable,Concerns about data migration,Q2 Server Review,Unsupported,-,30/09/2024 0:00,-,6/12/2023 0:00
Srv142,Windows Server,Red Hat 8,8/09/2023 0:00,Not Started,Cloud,2 years,Web Server,Low,No,In Progress,Web Team,Monthly updates,99.8% uptime,"16GB RAM, 1TB HDD",None,None,Moderate,$6606 per year,586W,Yes,Up-to-date,Cloud-based solution,Need faster replacement,Q2 Server Review,Active,Recycling planned,6/09/2024 0:00,-,4/09/2025 0:00
Srv143,Ubuntu,Red Hat 8,6/11/2025 0:00,Completed,On-Premise,6 years,Application Server,Medium,Yes,,Web Team,Monthly updates,99.9% uptime,"8GB RAM, 500GB SSD","SQL Server, ERP System",None,None,$2811 per year,315W,Yes,Incomplete,Defined,Need faster replacement,Q2 Server Review,Ending soon,-,1/01/2025 0:00,-,22/07/2023 0:00
Srv144,Linux,Red Hat 8,4/02/2025 0:00,Not Started,Cloud,1 years,Database Server,Low,No,In Progress,Web Team,Quarterly checks,99.9% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",HIPAA Compliance,None,$4749 per year,682W,Yes,Not Configured,Cloud-based solution,Concerns about data migration,End of Support,Unsupported,-,9/05/2025 0:00,-,11/06/2025 0:00
Srv145,Linux,2019,6/07/2024 0:00,Not Started,On-Premise,2 years,Web Server,High,Yes,In Progress,DevOps Team,Annual maintenance,99.8% uptime,"16GB RAM, 1TB HDD",None,None,High,$3699 per year,410W,Yes,Up-to-date,Not applicable,Need faster replacement,Q2 Server Review,Unsupported,-,25/09/2023 0:00,-,25/03/2023 0:00
Srv146,Windows Server,Ubuntu 18.04,12/05/2024 0:00,Delayed,Data Center,5 years,Web Server,Low,No,Completed,DevOps Team,Monthly updates,99.9% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",HIPAA Compliance,High,$2184 per year,588W,No,Incomplete,Standard plan,Concerns about data migration,Q2 Server Review,Ending soon,Hardware recycling,23/08/2024 0:00,-,8/06/2025 0:00
Srv147,Linux,2019,25/12/2024 0:00,Not Started,Data Center,5 years,Database Server,Medium,No,In Progress,Web Team,Annual maintenance,99.9% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",HIPAA Compliance,Moderate,$2592 per year,608W,No,Up-to-date,Cloud-based solution,-,Q3 Budget Planning,Unsupported,-,12/05/2024 0:00,-,27/07/2024 0:00
Srv148,Linux,Red Hat 7,22/05/2025 0:00,In Progress,On-Premise,9 years,File Server,Medium,No,Not Started,Web Team,Monthly updates,99.8% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",HIPAA Compliance,High,$2570 per year,464W,Yes,Incomplete,Standard plan,Upgrade needed soon,Q3 Budget Planning,Unsupported,-,6/03/2024 0:00,-,5/12/2024 0:00
Srv149,Linux,Red Hat 7,19/11/2023 0:00,Delayed,On-Premise,9 years,File Server,High,No,Not Started,DevOps Team,Annual maintenance,99.9% uptime,"8GB RAM, 500GB SSD","SQL Server, ERP System",None,Moderate,$2349 per year,378W,Yes,Incomplete,Standard plan,Upgrade needed soon,End of Support,Unsupported,Recycling planned,16/09/2024 0:00,-,22/12/2025 0:00
Srv150,Ubuntu,Red Hat 8,9/11/2025 0:00,Not Started,Data Center,4 years,Web Server,Low,Yes,,DevOps Team,Annual maintenance,99.9% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",HIPAA Compliance,Moderate,$2841 per year,570W,No,Not Configured,Standard plan,Need faster replacement,Q1 Risk Assessment,Unsupported,Hardware recycling,14/05/2025 0:00,-,21/12/2025 0:00
Srv151,Linux,Red Hat 8,14/01/2023 0:00,Not Started,Cloud,7 years,File Server,Medium,No,Not Started,Web Team,Annual maintenance,99.9% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",GDPR Compliance,High,$4141 per year,379W,Yes,Not Configured,Defined,Concerns about data migration,End of Support,Unsupported,Hardware recycling,28/12/2023 0:00,-,20/11/2025 0:00
Srv152,Linux,2019,3/04/2024 0:00,Delayed,Data Center,2 years,Database Server,Low,Yes,Not Started,IT Operations,Quarterly checks,99.9% uptime,"8GB RAM, 500GB SSD","SQL Server, ERP System",HIPAA Compliance,None,$1807 per year,610W,No,Not Configured,Standard plan,-,End of Support,Unsupported,Recycling planned,24/10/2025 0:00,-,23/05/2025 0:00
Srv153,Linux,2016,14/11/2025 0:00,Delayed,Cloud,1 years,Application Server,Medium,Yes,Completed,Web Team,Annual maintenance,99.7% uptime,"8GB RAM, 500GB SSD","SQL Server, ERP System",None,Moderate,$3593 per year,635W,Yes,Not Configured,Cloud-based solution,Upgrade needed soon,End of Support,Active,Hardware recycling,17/05/2023 0:00,-,28/09/2023 0:00
Srv154,Windows Server,Ubuntu 20.04,9/12/2025 0:00,Not Started,Cloud,1 years,Web Server,High,Yes,Completed,Web Team,Monthly updates,99.8% uptime,"16GB RAM, 1TB HDD","SQL Server, ERP System",HIPAA Compliance,Moderate,$3782 per year,609W,Yes,Up-to-date,Defined,-,End of Support,Unsupported,Recycling planned,14/07/2025 0:00,-,19/11/2023 0:00
Srv155,Windows Server,2019,20/01/2024 0:00,Not Started,Data Center,4 years,Application Server,Low,Yes,,IT Operations,Quarterly checks,99.8% uptime,"8GB RAM, 500GB SSD",None,HIPAA Compliance,Moderate,$1356 per year,540W,No,Up-to-date,Standard plan,Upgrade needed soon,Q3 Budget Planning,Unsupported,Hardware recycling,13/05/2023 0:00,-,18/12/2023 0:00
Srv156,Windows Server,Ubuntu 18.04,4/03/2023 0:00,Delayed,On-Premise,10 years,Web Server,Low,No,,IT Operations,Monthly updates,99.8% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",GDPR Compliance,None,$3171 per year,376W,Yes,Incomplete,Not applicable,Concerns about data migration,Q1 Risk Assessment,Ending soon,-,29/01/2024 0:00,-,20/10/2023 0:00
Srv157,Ubuntu,Red Hat 8,27/07/2025 0:00,In Progress,Cloud,9 years,File Server,Medium,No,In Progress,Storage Team,Annual maintenance,99.7% uptime,"4GB RAM, 2TB HDD","SQL Server, ERP System",HIPAA Compliance,Moderate,$4435 per year,588W,Yes,Incomplete,Standard plan,Upgrade needed soon,Q2 Server Review,Ending soon,Hardware recycling,13/08/2023 0:00,-,24/12/2024 0:00
Srv158,Linux Ubuntu 20.04,20/01/1900 0:57,1/10/2024 0:00,Not Started,Data Center,7 years,File Storage,Low,Yes,Completed,IT Operations,Quarterly checks,99.99% uptime,"8GB RAM, 1TB HDD",SQL Server,GDPR Compliance,None,$7000/year,500W,Yes,Not Configured,Not applicable,Concerns about data migration,Q1 Server Review,Unsupported,-,20/02/2024 0:00,-,16/02/2024 0:00
Srv159,Linux,2012 R2,20/02/2025 0:00,In Progress,Cloud,6 years,File Server,High,Yes,In Progress,DevOps Team,Monthly updates,99.8% uptime,"4GB RAM, 2TB HDD","Apache, WordPress",None,High,$2221 per year,639W,No,Up-to-date,Defined,Concerns about data migration,End of Support,Unsupported,Recycling planned,15/02/2023 0:00,-,8/07/2024 0:00
Srv160,Linux,2016,15/06/2025 0:00,Not Started,Data Center,4 years,Web Server,Medium,Yes,Completed,Web Team,Annual maintenance,99.9% uptime,"16GB RAM, 1TB HDD","SQL Server, ERP System",GDPR Compliance,None,$3081 per year,339W,No,Up-to-date,Not applicable,Need faster replacement,Q3 Budget Planning,Ending soon,-,29/03/2024 0:00,-,9/03/2025 0:00
Srv161,Windows Server,2016,17/09/2025 0:00,Delayed,Cloud,3 years,Web Server,Medium,Yes,Not Started,IT Operations,Quarterly checks,99.9% uptime,"16GB RAM, 1TB HDD",None,None,High,$3234 per year,677W,Yes,Not Configured,Cloud-based solution,-,Q1 Risk Assessment,Unsupported,Hardware recycling,1/10/2025 0:00,-,21/11/2025 0:00
Srv162,Windows Server,Ubuntu 18.04,20/06/2024 0:00,Not Started,Cloud,8 years,File Server,Low,No,Not Started,Web Team,Quarterly checks,99.9% uptime,"4GB RAM, 2TB HDD",None,None,Moderate,$1658 per year,561W,Yes,Incomplete,Defined,-,Q2 Server Review,Active,Hardware recycling,21/07/2024 0:00,-,24/06/2024 0:00
Srv163,Ubuntu,Red Hat 8,7/11/2023 0:00,Completed,Data Center,6 years,Application Server,Low,Yes,,IT Operations,Annual maintenance,99.8% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",GDPR Compliance,Moderate,$6469 per year,269W,No,Incomplete,Not applicable,-,Q3 Budget Planning,Unsupported,Recycling planned,25/03/2025 0:00,-,8/12/2024 0:00
Srv164,Linux,Ubuntu 20.04,1/09/2025 0:00,Delayed,Data Center,9 years,Database Server,Medium,No,,Web Team,Quarterly checks,99.9% uptime,"4GB RAM, 2TB HDD","Apache, WordPress",HIPAA Compliance,High,$6993 per year,234W,No,Incomplete,Standard plan,Concerns about data migration,Q1 Risk Assessment,Unsupported,Recycling planned,2/03/2025 0:00,-,26/11/2023 0:00
Srv165,Windows Server,Ubuntu 20.04,19/06/2026,Delayed,On-Premise,1 years,Database Server,Low,No,N/A,Team IT Operations,Monthly updates,99.11% uptime,"32GB RAM, 2TB SSD",Apache,None,Moderate,$5008/year,497W,Yes,Up-to-date,Not applicable,Concerns about data migration,Q1 Server Review,End of Support,Recycling planned,17/03/2028,-,28/08/2024
Srv166,Linux,Red Hat Enterprise Linux,21/02/2025,On Hold,On-Premise,1 years,Database Server,High,Yes,N/A,Team IT Operations,Annual maintenance,99.50% uptime,"8GB RAM, 500GB SSD",SQL Server,GDPR Compliance,None,$5096/year,257W,No,Up-to-date,Defined,Need faster replacement,Q1 Server Review,Active,-,29/04/2027,-,28/08/2024
Srv167,Windows Server,Ubuntu 20.04,10/02/2026,Delayed,Data Center,7 years,Application Server,Low,No,Completed,Team Analytics Team,Monthly updates,99.21% uptime,"32GB RAM, 2TB SSD",None,HIPAA Compliance,None,$1118/year,529W,No,Incomplete,Not applicable,Concerns about data migration,Q2 Budget Planning,End of Support,-,5/10/2028,-,28/08/2024
Srv168,Windows Server,Red Hat Enterprise Linux,20/11/2025,Not Started,On-Premise,5 years,File Storage,High,Yes,Completed,Team IT Operations,Annual maintenance,99.08% uptime,"32GB RAM, 2TB SSD",SQL Server,HIPAA Compliance,High,$6406/year,527W,Yes,Up-to-date,Not applicable,Concerns about data migration,Q1 Server Review,Active,-,30/04/2026,See notes,28/08/2024
Srv169,Windows Server,Windows Server 2016,15/11/2025,Unknown,Data Center,8 years,Database Server,High,Yes,Not Started,Team Analytics Team,Monthly updates,99.97% uptime,"8GB RAM, 500GB SSD",MySQL,GDPR Compliance,Moderate,$4488/year,287W,Yes,Incomplete,Defined,No issues,Q3 Risk Assessment,End of Support,Recycling planned,18/12/2026,-,28/08/2024
Srv170,Linux,Windows Server 2016,16/06/2026,On Hold,On-Premise,6 years,Application Server,High,Yes,Not Started,Team IT Operations,Monthly updates,99.61% uptime,"8GB RAM, 500GB SSD",SQL Server,HIPAA Compliance,None,$3407/year,457W,Yes,Up-to-date,Defined,No issues,Q3 Risk Assessment,Unsupported,-,3/03/2029,-,28/08/2024
Srv171,Windows Server,Windows Server 2016,14/05/2026,Delayed,On-Premise,5 years,Web Server,Low,No,Not Started,Team Analytics Team,Monthly updates,99.25% uptime,"16GB RAM, 1TB HDD",None,GDPR Compliance,High,$3725/year,254W,Yes,Up-to-date,Offsite backup plan,No issues,Q3 Risk Assessment,Active,-,14/03/2027,See notes,28/08/2024
Srv172,Windows Server,Windows Server 2016,9/03/2027,Delayed,On-Premise,2 years,Database Server,Low,No,Completed,Team Analytics Team,Quarterly checks,99.08% uptime,"8GB RAM, 500GB SSD",MySQL,GDPR Compliance,None,$6078/year,201W,No,Up-to-date,Defined,Need faster replacement,Q2 Budget Planning,End of Support,-,20/04/2026,See notes,28/08/2024
